,EUR,JPY,GBP,AUD,CAD,CHF,CNY,HKD,SEK,NOK,SGD,NZD,KRW,MXN,RUB,INR,BRL,PLN,DKK,DXY
2000-01-04,-0.9952728147408363,1.3018851334367032,-0.6070643509627234,0.41911104961306017,0.3882797436662712,-1.2751127237157394,0.0006042350836924509,-0.05702837605314863,-1.021327608614957,-0.822708028435739,-0.36917818334770375,0.520704732256033,-0.46412811740250537,0.1183498958180075,-0.15750438290893987,0.0,1.061989763719639,-0.7127048052527928,-1.9232504424477972,0.18940343597662346
2000-01-05,-0.26938106656870553,0.8516799651273237,-0.24484590553138502,-0.08102791638204918,-0.0024810851716412286,-0.3382929225700795,-0.0006042350837021938,-0.03648540437903601,-0.21667793714907094,0.05497074647905321,0.19098068219004488,0.4645536663236213,1.0567330264598662,0.6464190281886287,-1.3984792249903522,0.0,1.0068366485446056,-0.12977419922778682,-0.42461894933170513,-0.029881966455736146
2000-01-06,0.06186396631708351,1.1217253788594523,-0.4281978683487499,0.25265055274967835,0.3622064475507486,-0.1518317287256006,-0.0006042387347259776,0.038310610553468856,-0.006900431567234348,-0.13287561133500317,0.5337628467175263,0.48403245776893356,1.0982653565422102,0.5026786793096798,1.4640219903081784,0.0,-0.3801323054719735,-0.27249234188774124,-0.11306615267530883,0.2686167859012984
2000-01-07,0.37789111490945143,0.07559950837263822,0.49561487294522455,0.102361092079008,-0.02012254153802465,0.8866416187524601,-0.0018127381107697475,-0.003123436474471831,0.7923227191446515,0.7451045313242761,-0.14446894852701134,-0.011974230644181825,-0.8833572554449644,-0.4810986792930367,-0.6795796386842247,0.0,-0.3291854836571385,-0.6413852804081295,0.7892751383303633,0.14892035514676114
2000-01-10,0.342442351815595,-0.08548066644688174,0.16989907627806422,-0.260069817466686,-0.053657007975235024,0.446470475406308,0.0,-0.08147516789139142,0.5000187665999389,0.5357925850745043,-0.0902260678496029,-0.09083405543269689,-0.3655801761845588,-1.0662201736265662,2.962402735321825,0.0,-0.42520457082317703,-0.2544964957038044,0.44204277707651657,0.18831464011971918
2000-01-11,-0.6001232236485803,0.9192226229510041,-0.50201015739836,-0.07162479942209478,0.15587600647294178,-0.4622677434071926,0.0006042496880551868,0.06471234419562623,-0.40658076244717717,-0.2942148186585026,0.5259435256805403,0.04534988182416708,1.210576394347064,0.5459143899456499,1.9327209712121731,0.08610631584497161,-0.2537212002472025,0.21877581338057228,-0.37902655515214384,-0.42669377564734934
2000-01-12,0.11058955246865826,-0.17916740852209753,-0.1550998004184072,-0.22525301166278636,-0.150859470802081,-0.023220757542425596,0.0006042460369311965,-0.036890678192967305,-0.12339465994917892,-0.2077172104845558,-0.09337108008940556,-0.37363861096521034,-0.19859622475330527,0.22001169046936236,-0.4868082008419133,0.0,2.005999601023717,-0.34068658443817984,-0.20593745001519312,0.059648078118048564
2000-01-13,0.3582401549378177,0.202974525259547,0.13683620735947105,-1.3513360950669515,-0.3770782214139277,0.4451157208245193,0.009486184165361088,0.06095422148842324,0.06312437071125257,-0.2646407650905877,0.03758664980851097,-0.9560006500567783,-0.7882312423032445,0.08356973365837295,-0.1623216259225775,-0.09322316233792677,-2.0724274592465846,0.10756300909314621,0.2391148214746891,0.3769471778086979
2000-01-14,1.1052599578822702,-0.3172555301211949,0.45264361103906453,0.07356259003931657,0.008621822389610912,1.0818641336443164,-0.0003504290127116597,-0.01973116392052664,0.40241135566859676,0.2531377420847096,0.4015400634651363,0.37023479150500554,-0.9845311581139323,-0.6289472433073859,-0.3495148188727699,-0.021746505472259273,-0.8781830106819856,0.2889453399178771,0.8521324815070501,0.7103423712659442
2000-01-17,0.32562804341599455,-0.6986582757413132,0.29556518671174586,0.35776999156622025,0.02441296823473137,0.5858833474130747,-0.02487151242129464,0.11134329121142382,0.3172660241697245,0.42911756768303255,-0.0017311805009821073,0.47047479292194944,-0.1810036417534689,-0.3207631838731897,0.6941164485661245,0.38600479112768504,-0.23573483050597757,0.44100916223967823,0.6664227654700969,0.32389487019349233
